year,team,odds,wins_over_under,actual_record,result
1986-87,New York Knicks,+2000,,,
1986-87,Utah Jazz,+2200,,,
1986-87,New Jersey Nets,+2500,,,
1992-93,Milwaukee Bucks,+15000,,,
1992-93,Denver Nuggets,+15000,,,
1992-93,Washington Bullets,+15000,,,
1992-93,Sacramento Kings,+20000,,,
1990-91,Philadelphia 76ers,+1200,,,
1990-91,Utah Jazz,+1200,,,
1990-91,Boston Celtics,+1500,,,
1990-91,New York Knicks,+1500,,,
1990-91,Dallas Mavericks,+2000,,,
1990-91,Milwaukee Bucks,+2500,,,
1990-91,Seattle SuperSonics,+3000,,,
1988-89,Detroit Pistons,+400,,,
1988-89,Dallas Mavericks,+600,,,
1988-89,Cleveland Cavaliers,+800,,,
1988-89,Boston Celtics,+1000,,,
1988-89,Atlanta Hawks,+1200,,,
1993-94,Phoenix Suns,+300,,,
1993-94,Cleveland Cavaliers,+500,,,
1993-94,Seattle SuperSonics,+600,,,
1993-94,Charlotte Hornets,+1200,,,
1993-94,San Antonio Spurs,+1200,,,
1993-94,Houston Rockets,+1200,,,
1998-99,Los Angeles Lakers,+300,,,
1999-00,Portland Trail Blazers,+350,,,
1991-92,Indiana Pacers,+3500,,,
1991-92,Seattle SuperSonics,+3500,,,
1991-92,Golden State Warriors,+4000,,,
1991-92,Cleveland Cavaliers,+4000,,,
1991-92,Atlanta Hawks,+5000,,,
1991-92,Washington Bullets,+7500,,,
1991-92,Los Angeles Clippers,+7500,,,
1991-92,Dallas Mavericks,+7500,,,
1991-92,New Jersey Nets,+20000,,,
1991-92,Sacramento Kings,+20000,,,
1991-92,Miami Heat,+40000,,,
2000-01,Los Angeles Lakers,+180,,,
2001-02,Los Angeles Lakers,+200,,,
1996-97,Los Angeles Lakers,+500,,,
1996-97,Seattle SuperSonics,+600,,,
1996-97,New York Knicks,+800,,,
1996-97,Houston Rockets,+800,,,
1996-97,Indiana Pacers,+1200,,,
1996-97,Orlando Magic,+1500,,,
1996-97,Miami Heat,+1500,,,
1996-97,San Antonio Spurs,+1500,,,
1996-97,Utah Jazz,+1800,,,
1996-97,Atlanta Hawks,+2000,,,
1996-97,Portland Trail Blazers,+3000,,,
1996-97,Phoenix Suns,+3500,,,
1996-97,Washington Bullets,+4000,,,
1996-97,Detroit Pistons,+5000,,,
1996-97,Charlotte Hornets,+5000,,,
1996-97,Dallas Mavericks,+6000,,,
1996-97,Sacramento Kings,+6000,,,
1996-97,Cleveland Cavaliers,+6000,,,
1996-97,Milwaukee Bucks,+7000,,,
1996-97,New Jersey Nets,+7000,,,
1996-97,Golden State Warriors,+7000,,,
1996-97,Denver Nuggets,+7000,,,
1994-95,Houston Rockets,+450,,,
1994-95,New York Knicks,+450,,,
1994-95,Orlando Magic,+450,,,
1994-95,Seattle SuperSonics,+450,,,
1994-95,San Antonio Spurs,+1000,,,
